"Year","Publications","Resource"
2014,3404,"Web of Science"
2019,4620,"Web of Science"
2016,3980,"Web of Science"
2018,4189,"Web of Science"
2017,4064,"Web of Science"
2015,3678,"Web of Science"
2020,4702,"Web of Science"
2021,4721,"Web of Science"
2022,4334,"Web of Science"
2023,4008,"Web of Science"
2014,2862,"Dimensions"
2015,3049,"Dimensions"
2016,3239,"Dimensions"
2017,3472,"Dimensions"
2018,3641,"Dimensions"
2019,3992,"Dimensions"
2020,4240,"Dimensions"
2021,4266,"Dimensions"
2022,4045,"Dimensions"
2023,4004,"Dimensions"
2014,3045,"Scopus"
2015,3118,"Scopus"
2016,3226,"Scopus"
2017,3820,"Scopus"
2018,3856,"Scopus"
2019,4033,"Scopus"
2020,4204,"Scopus"
2021,4202,"Scopus"
2022,4135,"Scopus"
2023,3994,"Scopus"
