"Name","Web of Science Documents","% Docs Cited","Category Normalized Citation Impact","International Collaborations","Gold Documents","Domestic Collaborations","State or Province","Corresponding Author (2008-2024)","Times Cited without Self-Citations","H-Index without Self-Citations","Year"
"Harvard University",34598,77.65,2.28009141857911,13467,3217,14440,"MASSACHUSETTS, USA",13645,1636523,462,2014
"Stanford University",13703,79.19,2.43939340290447,5008,1211,4831,"CALIFORNIA, USA",5524,701388,344,2014
"Massachusetts Institute of Technology (MIT)",9395,84.33,2.56959505055881,4261,926,2792,"MASSACHUSETTS, USA",4060,606383,325,2014
"Johns Hopkins University",14959,77.63,2.0263230162444,5175,1538,6143,"MARYLAND, USA",5673,595686,287,2014
"University of Pennsylvania",13051,75.34,2.01746804076316,3627,948,5557,"PENNSYLVANIA, USA",5431,505679,286,2014
"University of California Berkeley",10727,81.49,2.20164763680433,4256,1023,3496,"CALIFORNIA, USA",4722,542973,284,2014
"University of Washington Seattle",12525,79.95,2.10673124151697,4113,1165,5345,"WASHINGTON, USA",4637,550572,281,2014
"University of Michigan",14637,77.84,1.88439208171073,4294,1051,5190,"MICHIGAN, USA",6749,535937,273,2014
"Columbia University",11816,77.87,2.05003791469194,4176,936,4367,"NEW YORK, USA",4611,505416,267,2014
"University of California San Francisco",9819,74.48,2.25712498217741,3234,941,4423,"CALIFORNIA, USA",3103,461773,266,2014
"Brigham & Women's Hospital",7531,77.8,2.30658840791396,2828,662,3741,"MASSACHUSETTS, USA",2106,396990,260,2014
"University of California Los Angeles",12798,77.37,2.00945720425066,4225,1106,5066,"CALIFORNIA, USA",5002,493764,259,2014
"University of California San Diego",10078,79.35,1.8758465072435,3871,1044,3685,"CALIFORNIA, USA",3915,418647,252,2014
"Yale University",10186,77.21,2.01765903200471,3428,931,3482,"CONNECTICUT, USA",4287,418243,250,2014
"Cornell University",9831,78.62,1.86041552232733,3399,905,3597,"NEW YORK, USA",3948,391257,240,2014
"Northwestern University",8695,76.29,2.49891205290397,2399,623,3779,"ILLINOIS, USA",3538,353541,236,2014
"Duke University",9950,78.19,1.97383890452261,3242,861,3869,"NORTH CAROLINA, USA",4012,381055,235,2014
"Pennsylvania Medicine",6674,80.69,1.95217262511238,1803,581,3289,"PENNSYLVANIA, USA",828,298064,231,2014
"University of North Carolina Chapel Hill",8783,78.05,1.89468549470568,2393,745,3947,"NORTH CAROLINA, USA",3647,344238,224,2014
"University of Minnesota Twin Cities",9718,77.98,1.59709524593538,2825,769,3723,"MINNESOTA, USA",4154,325183,219,2014
"University of Pittsburgh",10727,72.27,1.73375075976508,2874,852,4318,"PENNSYLVANIA, USA",4134,357795,219,2014
"Washington University (WUSTL)",7143,73.95,1.91725961080778,1802,549,2884,"MISSOURI, USA",3101,289912,218,2014
"University of Chicago",6907,77.02,2.2296685681193,2364,684,2423,"ILLINOIS, USA",2756,290536,215,2014
"University of Wisconsin Madison",9350,79.19,1.75239881283422,2684,827,3322,"WISCONSIN, USA",4265,332778,213,2014
"New York University",8174,74.72,1.96738563738684,2386,682,3077,"NEW YORK, USA",3553,292590,207,2014
"University of California Davis",8379,79.1,1.61416725146199,2905,867,2871,"CALIFORNIA, USA",3723,291884,204,2014
"California Institute of Technology",4608,85.09,2.47850796440972,2233,355,1246,"CALIFORNIA, USA",1994,252334,201,2014
"Emory University",7481,72.97,1.75777531078733,1998,709,3534,"GEORGIA, USA",2550,267304,200,2014
"Icahn School of Medicine at Mount Sinai",5256,71.5,1.97396113013699,1746,479,2094,"NEW YORK, USA",1687,216668,200,2014
"University of Texas Austin",7126,80.37,1.85433661240528,2114,504,2256,"TEXAS, USA",3766,270248,200,2014
"Ohio State University",10136,76.25,1.67564926006314,2994,886,3793,"OHIO, USA",4613,318352,199,2014
"University of Southern California",7358,77.45,1.78835422669204,2320,537,2737,"CALIFORNIA, USA",3164,265435,197,2014
"Boston University",5920,78.36,1.78253638513514,2088,638,2353,"MASSACHUSETTS, USA",2140,233965,197,2014
"Vanderbilt University",6747,76.91,1.95809925892989,1815,623,2664,"TENNESSEE, USA",2885,254673,193,2014
"Princeton University",4391,82.97,2.31360480528353,1778,353,1153,"NEW JERSEY, USA",2136,211899,192,2014
"Pennsylvania State University",8676,79.99,1.61260187874597,2675,623,2974,"PENNSYLVANIA, USA",4346,264506,192,2014
"University of Illinois Urbana-Champaign",7226,82.36,1.71094205646277,2412,596,2318,"ILLINOIS, USA",3728,258215,191,2014
"Harvard T.H. Chan School of Public Health",3277,88.43,2.92153390296002,1705,549,1351,"MASSACHUSETTS, USA",726,240672,191,2014
"University of Florida",9098,77.26,1.40221212354364,2900,977,3073,"FLORIDA, USA",3969,255674,189,2014
"University of Maryland College Park",6030,83.47,1.91960213930348,2309,544,2086,"MARYLAND, USA",2726,242427,189,2014
"David Geffen School of Medicine at UCLA",5268,81.97,1.86855632118451,1542,577,2661,"CALIFORNIA, USA",1079,219005,189,2014
"Weill Cornell Medicine",4416,73.01,1.86543070652174,1447,359,1938,"NEW YORK, USA",1095,181033,183,2014
"University of Colorado Boulder",4733,80.88,1.81689556306782,1625,435,1680,"COLORADO, USA",2234,207207,182,2014
"Georgia Institute of Technology",5213,82.1,1.72111457893727,1793,248,1610,"GEORGIA, USA",2959,188782,182,2014
"Baylor College of Medicine",4975,75.56,1.61188657286432,1349,521,2423,"TEXAS, USA",1713,187376,181,2014
"Pennsylvania State University - University Park",6531,83.36,1.63521894043791,2218,464,2189,"PENNSYLVANIA, USA",3172,221426,180,2014
"University of Arizona",6149,79.35,1.64590087819158,2162,558,2113,"ARIZONA, USA",2629,198013,179,2014
"University of Texas Southwestern Medical Center Dallas",3933,74.04,2.02975158911772,1056,353,1774,"TEXAS, USA",1388,167721,179,2014
"Feinberg School of Medicine",4139,79.95,2.07757975356366,1003,361,2200,"ILLINOIS, USA",1224,175123,177,2014
"University of North Carolina School of Medicine",3398,84.17,1.83577733961154,962,340,1577,"NORTH CAROLINA, USA",393,165974,175,2014
"Purdue University",6752,80.04,1.40347497037915,2144,503,2155,"INDIANA, USA",3746,193034,170,2014
"University of California Irvine",5212,78.47,2.06924391788181,1741,510,1641,"CALIFORNIA, USA",2367,212209,169,2014
"Rutgers University New Brunswick",7160,75.42,1.43603789106145,2165,681,2742,"NEW JERSEY, USA",3153,203975,168,2014
"Brown University",4499,79.71,2.20017437208269,1216,387,2039,"RHODE ISLAND, USA",1728,194467,168,2014
"University of California Santa Barbara",3247,83.12,1.98888361564521,1286,266,872,"CALIFORNIA, USA",1565,162714,165,2014
"University of Utah",5747,75.83,1.61682009744214,1515,412,2510,"UTAH, USA",2452,176462,165,2014
"University of Rochester",3956,77.6,1.80334405965622,1249,372,1465,"NEW YORK, USA",1578,147221,164,2014
"Indiana University Bloomington",5781,74.09,1.55352548002076,1654,456,2081,"INDIANA, USA",2472,171619,164,2014
"Texas A&M University College Station",6770,80.07,1.26138552437223,2337,626,2237,"TEXAS, USA",3306,178964,163,2014
"University of Colorado Anschutz Medical Campus",4311,75.13,2.03389345859429,967,395,2311,"COLORADO, USA",1465,152935,163,2014
"Michigan State University",5737,81.24,1.62917272093429,1866,519,2075,"MICHIGAN, USA",2585,192775,162,2014
"Case Western Reserve University",4976,74.04,1.54910831993569,1309,409,2448,"OHIO, USA",1726,158157,159,2014
"Johns Hopkins Bloomberg School of Public Health",2968,88.61,2.06061859838275,1275,558,1393,"MARYLAND, USA",757,148988,159,2014
"Oregon Health & Science University",3441,73.53,1.94285094449288,904,280,1768,"OREGON, USA",1046,134103,158,2014
"University of Virginia",5023,75.43,1.5835772446745,1370,389,1713,"VIRGINIA, USA",2322,159939,157,2014
"University of Alabama Birmingham",4899,70.48,1.7047847519902,1144,411,2308,"ALABAMA, USA",1677,167828,157,2014
"University of Iowa",5130,75.42,1.51746341130604,1351,501,2029,"IOWA, USA",2267,156342,155,2014
"Carnegie Mellon University",3506,82.29,2.19842005134056,1285,218,1124,"PENNSYLVANIA, USA",1811,127244,150,2014
"Arizona State University-Tempe",4302,79.82,1.62172370990237,1287,262,1504,"ARIZONA, USA",2251,125918,149,2014
"University of Miami",4324,74.61,1.50059602220167,1285,379,1710,"FLORIDA, USA",1691,139147,147,2014
"University of Illinois Chicago",5104,72.51,1.47625597570533,1299,408,2113,"ILLINOIS, USA",2074,147417,145,2014
"Yeshiva University",3112,73.91,1.54366233933162,821,308,1507,"NEW YORK, USA",1010,114069,145,2014
"University of Texas Health Science Center Houston",3118,78.99,1.53792424631174,963,328,1587,"TEXAS, USA",969,115475,144,2014
"Rice University",2102,79.45,1.98771979067555,758,192,650,"TEXAS, USA",1060,99097,143,2014
"University of Connecticut",4215,75.82,1.3074646737841,987,352,1692,"CONNECTICUT, USA",2151,117266,142,2014
"University of Cincinnati",3892,76.21,1.49156056012333,1100,310,1723,"OHIO, USA",1465,117806,141,2014
"University of Maryland Baltimore",3746,74.91,1.5532970368393,1029,382,1769,"MARYLAND, USA",1268,119556,140,2014
"University of South Florida",4397,72.53,1.60566790993859,1227,341,1853,"FLORIDA, USA",1740,115145,139,2014
"University of California Santa Cruz",1982,85.67,2.31510312815338,916,180,570,"CALIFORNIA, USA",810,115816,138,2014
"Albert Einstein College of Medicine",2635,72.79,1.67214800759013,668,253,1299,"NEW YORK, USA",917,92730,138,2014
"University of Tennessee Knoxville",3404,83.11,1.60893722091657,1122,362,1363,"TENNESSEE, USA",1606,123216,138,2014
"Tufts University",3066,79.84,1.46704778212655,985,333,1262,"MASSACHUSETTS, USA",1176,110387,137,2014
"North Carolina State University",4226,82.7,1.35481109796498,1241,323,1616,"NORTH CAROLINA, USA",2175,115539,137,2014
"State University of New York (SUNY) Stony Brook",3331,76.19,1.51588249774842,1171,342,1121,"NEW YORK, USA",1441,101256,134,2014
"University of New Mexico",3335,75.77,1.54162065967016,988,291,1367,"NEW MEXICO, USA",1400,97796,133,2014
"Wake Forest University",2822,73.42,1.51801718639263,652,229,1219,"NORTH CAROLINA, USA",1135,97493,132,2014
