"Publisher","ISSN","eISSN","JIF","Publication Year"
"NATURE PUBLISHING GROUP","0028-0836","1476-4687",41.456,2014
"NATL ACAD SCIENCES","0027-8424","1091-6490",9.674,2014
"AMER ASSOC ADVANCEMENT SCIENCE","0036-8075","1095-9203",33.611,2014
"AMER CHEMICAL SOC","0002-7863","1520-5126",12.113,2014
"AMER SOC BIOCHEMISTRY MOLECULAR BIOLOGY INC","0021-9258","1083-351X",4.573,2014
"AMER PHYSICAL SOC","0031-9007","1079-7114",7.512,2014
"PUBLIC LIBRARY SCIENCE","1932-6203","1932-6203",3.234,2014
"AMER PHYSICAL SOC","1098-0121","2469-9969",3.736,2014
"MASSACHUSETTS MEDICAL SOC","0028-4793","1533-4406",55.873,2014
"WILEY-V C H VERLAG GMBH","1433-7851","1521-3773",11.261,2014
"AMER INST PHYSICS","0003-6951","1077-3118",3.302,2014
"CELL PRESS","0092-8674","1097-4172",32.242,2014
"CELL PRESS","0092-8674","1097-4172",32.242,2014
"IOP PUBLISHING LTD","0004-637X","1538-4357",5.993,2014
"AMER INST PHYSICS","0021-9606","1089-7690",2.952,2014
"AMER GEOPHYSICAL UNION","0148-0227","N/A",3.426,2014
"ELSEVIER SCIENCE INC","0140-6736","1474-547X",45.217,2014
"SOC NEUROSCIENCE","0270-6474","1529-2401",6.344,2014
"ROYAL SOC CHEMISTRY","1359-7345","1364-548X",6.834,2014
"LIPPINCOTT WILLIAMS & WILKINS","0009-7322","1524-4539",15.073,2014
"LIPPINCOTT WILLIAMS & WILKINS","0009-7322","1524-4539",15.073,2014
"AMER INST PHYSICS","0021-8979","1089-7550",2.183,2014
"AMER SOC HEMATOLOGY","0006-4971","1528-0020",10.452,2014
"AMER PHYSICAL SOC","1550-7998","2470-0029",4.643,2014
"AMER PHYSICAL SOC","1550-7998","2470-0029",4.643,2014
"AMER ASSOC CANCER RESEARCH","0008-5472","1538-7445",9.329,2014
"AMER CHEMICAL SOC","0009-2665","1520-6890",46.568,2014
"OXFORD UNIV PRESS","0305-1048","1362-4962",9.112,2014
"AMER SOC CLINICAL ONCOLOGY","0732-183X","1527-7755",18.443,2014
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",17.493,2014
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",17.493,2014
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",17.493,2014
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",17.493,2014
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",17.493,2014
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",17.493,2014
"AMER MEDICAL ASSOC","0098-7484","1538-3598",35.289,2014
"AMER ASSOC IMMUNOLOGISTS","0022-1767","1550-6606",4.922,2014
"AMER CHEMICAL SOC","1520-6106","1520-5207",3.302,2014
"AMER CHEMICAL SOC","0743-7463","1520-5827",4.457,2014
"AMER CHEMICAL SOC","0743-7463","1520-5827",4.457,2014
"AMER CHEMICAL SOC","0743-7463","1520-5827",4.457,2014
"AMER CHEMICAL SOC","1530-6984","1530-6992",13.592,2014
"AMER CHEMICAL SOC","1530-6984","1530-6992",13.592,2014
"AMER CHEMICAL SOC","1530-6984","1530-6992",13.592,2014
"AMER CHEMICAL SOC","1530-6984","1530-6992",13.592,2014
"AMER CHEMICAL SOC","1530-6984","1530-6992",13.592,2014
"AMER CHEMICAL SOC","1530-6984","1530-6992",13.592,2014
"AMER CHEMICAL SOC","0013-936X","1520-5851",5.33,2014
"AMER CHEMICAL SOC","0013-936X","1520-5851",5.33,2014
"AMER CHEMICAL SOC","1932-7447","1932-7455",4.772,2014
"AMER CHEMICAL SOC","1932-7447","1932-7455",4.772,2014
"AMER CHEMICAL SOC","1932-7447","1932-7455",4.772,2014
"OXFORD UNIV PRESS","0035-8711","1365-2966",5.107,2014
"AMER CHEMICAL SOC","0003-2700","1520-6882",5.636,2014
"AMER CHEMICAL SOC","0022-3263","1520-6904",4.721,2014
"AMER CHEMICAL SOC","0024-9297","1520-5835",5.8,2014
"EDP SCIENCES S A","0004-6361","1432-0746",4.378,2014
"AMER PHYSICAL SOC","1050-2947","2469-9934",2.808,2014
"AMER PHYSICAL SOC","1050-2947","2469-9934",2.808,2014
"AMER SOC CLINICAL INVESTIGATION INC","0021-9738","1558-8238",13.262,2014
"AMER SOC MICROBIOLOGY","0022-538X","1098-5514",4.439,2014
"AMER CHEMICAL SOC","0020-1669","1520-510X",4.762,2014
"ELSEVIER SCI LTD","0142-9612","1878-5905",8.557,2014
"ELSEVIER SCI LTD","0142-9612","1878-5905",8.557,2014
"AMER SOC MICROBIOLOGY","0099-2240","1098-5336",3.668,2014
"AMER SOC MICROBIOLOGY","0099-2240","1098-5336",3.668,2014
"BMJ PUBLISHING GROUP","1756-1833","1756-1833",17.445,2014
"AMER CHEMICAL SOC","1523-7060","1523-7052",6.364,2014
"AMER CHEMICAL SOC","0897-4756","1520-5002",8.354,2014
"AMER CHEMICAL SOC","0897-4756","1520-5002",8.354,2014
"NATURE PUBLISHING GROUP","1061-4036","1546-1718",29.352,2014
"AMER CHEMICAL SOC","0021-8561","1520-5118",2.912,2014
"AMER CHEMICAL SOC","0021-8561","1520-5118",2.912,2014
"AMER CHEMICAL SOC","0021-8561","1520-5118",2.912,2014
"AMER CHEMICAL SOC","0006-2960","1520-4995",3.015,2014
"ELSEVIER SCIENCE BV","0378-7753","1873-2755",6.217,2014
"ELSEVIER SCIENCE BV","0378-7753","1873-2755",6.217,2014
"ROYAL SOC CHEMISTRY","0306-0012","1460-4744",33.383,2014
"AMER PHYSICAL SOC","1539-3755","2470-0053",2.288,2014
"AMER PHYSICAL SOC","1539-3755","2470-0053",2.288,2014
"OPTICAL SOC AMER","1094-4087","N/A",3.488,2014
"ELSEVIER SCIENCE INC","0735-1097","1558-3597",16.503,2014
"AMER CHEMICAL SOC","1936-0851","1936-086X",12.881,2014
"AMER CHEMICAL SOC","1936-0851","1936-086X",12.881,2014
"AMER CHEMICAL SOC","1936-0851","1936-086X",12.881,2014
"AMER CHEMICAL SOC","1936-0851","1936-086X",12.881,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","1053-8119","1095-9572",6.357,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","1053-8119","1095-9572",6.357,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","1053-8119","1095-9572",6.357,2014
"WILEY-V C H VERLAG GMBH","0947-6539","1521-3765",5.731,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0006-291X","1090-2104",2.297,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0006-291X","1090-2104",2.297,2014
"CELL PRESS","0896-6273","1097-4199",15.054,2014
"LIPPINCOTT WILLIAMS & WILKINS","0028-3878","1526-632X",8.185,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0040-4039","1873-3581",2.379,2014
"AMER GEOPHYSICAL UNION","0094-8276","1944-8007",4.196,2014
"AMER SOC PLANT BIOLOGISTS","0032-0889","1532-2548",6.841,2014
"WILEY-BLACKWELL","0261-4189","1460-2075",10.434,2014
"WILEY-BLACKWELL","0261-4189","1460-2075",10.434,2014
"ENDOCRINE SOC","0021-972X","1945-7197",6.209,2014
"AMER ASSOC CANCER RESEARCH","1078-0432","1557-3265",8.722,2014
"ROCKEFELLER UNIV PRESS","0021-9525","1540-8140",9.834,2014
"AMER SOC MICROBIOLOGY","0021-9193","1098-5530",2.808,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0013-4686","1873-3859",4.504,2014
"W B SAUNDERS CO-ELSEVIER INC","0016-5085","1528-0012",16.716,2014
"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0022-2836","1089-8638",4.333,2014
"SPRINGER","1029-8479","1029-8479",6.111,2014
"AMER ACAD PEDIATRICS","0031-4005","1098-4275",5.473,2014
"ELSEVIER SCI LTD","0960-8524","1873-2976",4.494,2014
"ELSEVIER SCI LTD","0960-8524","1873-2976",4.494,2014
"ELSEVIER SCI LTD","0960-8524","1873-2976",4.494,2014
"OXFORD UNIV PRESS","1367-4803","1367-4811",4.981,2014
"OXFORD UNIV PRESS","1367-4803","1367-4811",4.981,2014
"OXFORD UNIV PRESS","1367-4803","1367-4811",4.981,2014
"NATURE PUBLISHING GROUP","1476-1122","1476-4660",36.503,2014
"NATURE PUBLISHING GROUP","1476-1122","1476-4660",36.503,2014
"NATURE PUBLISHING GROUP","1476-1122","1476-4660",36.503,2014
"NATURE PUBLISHING GROUP","1476-1122","1476-4660",36.503,2014
"AMER SOC MICROBIOLOGY","0270-7306","1098-5549",4.777,2014
"AMER SOC MICROBIOLOGY","0270-7306","1098-5549",4.777,2014
"NATURE PUBLISHING GROUP","0950-9232","1476-5594",8.459,2014
"NATURE PUBLISHING GROUP","0950-9232","1476-5594",8.459,2014
"NATURE PUBLISHING GROUP","0950-9232","1476-5594",8.459,2014
"NATURE PUBLISHING GROUP","0950-9232","1476-5594",8.459,2014
"ELSEVIER SCIENCE BV","0021-9673","1873-3778",4.169,2014
"ELSEVIER SCIENCE BV","0021-9673","1873-3778",4.169,2014
"AMER CHEMICAL SOC","0022-2623","1520-4804",5.447,2014
"WILEY-BLACKWELL","0008-543X","1097-0142",5.068,2014
"ELECTROCHEMICAL SOC INC","0013-4651","1945-7111",3.266,2014
"ELECTROCHEMICAL SOC INC","0013-4651","1945-7111",3.266,2014
"ROCKEFELLER UNIV PRESS","0022-1007","1540-9538",12.515,2014
"ROCKEFELLER UNIV PRESS","0022-1007","1540-9538",12.515,2014
"NATURE PUBLISHING GROUP","1078-8956","1546-170X",28.223,2014
"NATURE PUBLISHING GROUP","1078-8956","1546-170X",28.223,2014
"NATURE PUBLISHING GROUP","1078-8956","1546-170X",28.223,2014
"ELSEVIER SCIENCE BV","0370-2693","1873-2445",6.131,2014
"ELSEVIER SCIENCE BV","0304-3894","1873-3336",4.529,2014
"ELSEVIER SCIENCE BV","0304-3894","1873-3336",4.529,2014
"ELSEVIER SCIENCE BV","0304-3894","1873-3336",4.529,2014
"ROYAL SOC CHEMISTRY","1463-9076","1463-9084",4.493,2014
"ROYAL SOC CHEMISTRY","1463-9076","1463-9084",4.493,2014
